node_id,betweenness_centrality,in_degree,out_degree,clustering_coefficient,delayed_trips,avg_delay_factor,node_name,sla_breach_score,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15
IND362265AAA,1.6419282805727048e-05,3,1,0.1666666666666666,78.0,2.25,Veraval_DC (Gujarat),0.0012807040588467,-2.504606635894624e-06,5.457476016827735e-07,5.395740604766208e-07,1.356123103202639e-06,3.0371923497445013e-06,4.081330688469082e-06,-3.936666038033128e-06,-3.1469025349705855e-05,-5.38252974987218e-05,3.632146028515377e-05,0.1258487675582713,-0.0004333693280443631,4.9336998218905585e-06,1.512733809796923e-06,3.7107620187142243e-06,2.7169892782540555e-06
IND362720AAA,1.6419282805727048e-05,1,1,0.0,69.0,2.0,Kodinar_NCplxDPP_D (Gujarat),0.0011329305135951,-2.5046066358863714e-06,5.457476016872192e-07,5.395740604472861e-07,1.356123103197426e-06,3.0371923497426743e-06,4.0813306884557475e-06,-3.936666038054764e-06,-3.1469025349684625e-05,-5.3825297498711335e-05,3.632146028512753e-05,0.1258487675582713,-0.00043336932804433797,4.933699821869012e-06,1.5127338097951137e-06,3.7107620187091324e-06,2.7169892782490106e-06
IND362560AAA,1.6419282805727048e-05,1,1,0.0,65.0,1.588235294117647,Una_Mamlatdr_DC (Gujarat),0.0010672533823722,-2.5046066358964363e-06,5.457476016833666e-07,5.395740604713505e-07,1.3561231031984673e-06,3.0371923497442934e-06,4.081330688480811e-06,-3.936666038043345e-06,-3.146902534971564e-05,-5.3825297498729306e-05,3.6321460285209476e-05,0.12584876755827124,-0.00043336932804435954,4.9336998218869925e-06,1.5127338097955207e-06,3.710762018715852e-06,2.716989278259478e-06
IND362150AAA,1.6419282805727048e-05,1,1,0.0,57.0,1.5333333333333334,Talala_SsnRdDPP_D (Gujarat),0.0009358991199264,-2.504606635900814e-06,5.457476016931184e-07,5.39574060471073e-07,1.3561231032150558e-06,3.0371923497429593e-06,4.081330688481755e-06,-3.936666038040091e-06,-3.1469025349700833e-05,-5.3825297498723756e-05,3.6321460285174396e-05,0.12584876755827124,-0.0004333693280443264,4.933699821896179e-06,1.5127338097954066e-06,3.710762018716565e-06,2.71698927826261e-06
IND131028AAB,0.0478369026019626,20,20,0.0343709468223086,922.0,2.019287856453702,Sonipat_Kundli_H (Haryana),44.10562419900957,5.5969326444502914e-08,-1.1662972281146472e-08,6.070213613159987e-08,2.2062014525050734e-08,3.4140042917023694e-09,-6.401055987027908e-09,3.047633205775237e-08,-4.634453258290438e-08,4.965096059902429e-09,9.171172775973012e-09,1.970355866121295e-08,-6.68240638783659e-08,1.6121340122733737e-07,-2.5839684950590693e-07,2.2504363153756112e-07,-1.2834646777558397e-07
IND247667AAB,0.0,1,1,1.0,4.0,2.4642857142857144,Roorkee_IOTCEncl_L (Uttarakhand),0.0,5.5969326444215624e-08,-1.1662972281287738e-08,6.070213613164016e-08,2.2062014524936606e-08,3.4140042911829194e-09,-6.401055987404281e-09,3.047633205666927e-08,-4.634453258214001e-08,4.9650960596665345e-09,9.171172775450135e-09,1.9703558662074066e-08,-6.682406388009817e-08,1.6121340122681097e-07,-2.583968495055088e-07,2.250436315379055e-07,-1.2834646777612332e-07
IND249407AAA,0.004033305602989,5,3,0.08,170.0,1.9077120012603883,Haridwar (Uttarakhand),0.6856619525081367,5.5969326444632874e-08,-1.1662972281428317e-08,6.070213613147663e-08,2.2062014525030097e-08,3.4140042933885465e-09,-6.401055987380348e-09,3.0476332056655275e-08,-4.6344532581579544e-08,4.965096059965364e-09,9.171172775464052e-09,1.970355866269586e-08,-6.682406388012543e-08,1.6121340122791425e-07,-2.5839684950513486e-07,2.2504363153749e-07,-1.2834646777555965e-07
IND600056AAB,0.0421461958306008,18,18,0.039708265802269,1678.0,1.7769073592795712,MAA_Poonamallee_HB (Tamil Nadu),70.7213166037482,5.596932644423568e-08,-1.1662972281879478e-08,6.070213613391424e-08,2.2062014524159e-08,3.414004289940806e-09,-6.401055987039248e-09,3.047633205689046e-08,-4.634453258489876e-08,4.965096059961321e-09,9.171172776699997e-09,1.970355865847753e-08,-6.682406388232272e-08,1.6121340122633308e-07,-2.583968495043554e-07,2.2504363153844773e-07,-1.2834646777593443e-07
IND000000ACA,0.0080600434928557,13,9,0.08,464.0,1.7680083740648755,Ludhiana_MilrGanj_HB (Punjab),3.7398601806850857,5.5969326444555833e-08,-1.1662972281086139e-08,6.070213613202255e-08,2.2062014524564282e-08,3.414004291492011e-09,-6.40105598740602e-09,3.047633205712084e-08,-4.634453258341979e-08,4.965096059358708e-09,9.171172775913542e-09,1.9703558660691023e-08,-6.682406387899545e-08,1.6121340122725132e-07,-2.5839684950600365e-07,2.25043631537576e-07,-1.2834646777676431e-07
IND144001AAB,0.0036304858648218,5,5,0.2073170731707317,174.0,2.3091798082869515,Jalandhar_DPC (Punjab),0.6317045404790053,5.596932644413947e-08,-1.1662972281205524e-08,6.070213613214955e-08,2.2062014524212697e-08,3.414004292191923e-09,-6.4010559867978295e-09,3.0476332057667136e-08,-4.634453258294985e-08,4.9650960592483046e-09,9.171172776132334e-09,1.970355866086383e-08,-6.682406387894522e-08,1.612134012270902e-07,-2.583968495057718e-07,2.2504363153715867e-07,-1.283464677771147e-07
